Kor,Eng
뭔가 조사해볼만한 책은 없을까?,Is there any book worth looking into?
책장 위에 놓인 곰인형들이다.,There are teddy bears placed on top of the bookshelf.
전부 리폼을 한 것 같다.,Looks like everything’s been remodeled.
인형 사이엔 시계가 있네?,There's a clock between the dolls?
옷장 밑이다.,Under the wardrobe.
...이건 그래도 사생활로 지켜주는게 좋을 것 같아.,...still` I think it's better to keep this private.
문 앞에 달려있는 발이다.,It's the blind hanging in front of the door.
이런건 어디에 파는거야.,Where do you even buy something like this?
밖에서 잠근건지 문은 열리지 않는다.,The door won’t open—maybe it’s locked from the outside.
문을 열려하는 것보단 차라리 다른 걸 찾아보는게 낫겠어.,Instead of trying to open the door` we’d be better off looking for something else.
틴케이스가 열리지 않는다.,The tin case won’t open.
이 번호가 아닌가보다.,Looks like this isn’t the right number.
어딘가 도움이 될만한게 없나...,"Is there anything useful around here...?"""
덜그럭 소리만 날뿐 열리지 않는다.,It just rattles; it won't open.
고장은 아닌 것 같고 역시 비밀번호가 틀렸나?,It doesn't seem broken. Is the password wrong after all?
별 모양 구슬과 연관된게 주변에 있을까?,Could there be something around here connected to the star-shaped marble?
서랍장이 열린다. ,The drawer opens.
옷과 물건들이 뒤엉켜있다,Clothes and belongings are all jumbled together.
...옷장 정리가 아예 안되어있네.,...The closet isn't organized at all.
저건 또 뭐지?,What's that now?
역시 정리가 안되어있다.,Figures—it's still a mess.
멋대로 쳐박아둔 것 같다.,Looks like someone just shoved it away carelessly.
이러면 옷을 찾을 순 있나....,Will I even be able to find my clothes....
...원래라면 안열어봤겠지만 지금은 그런걸 가릴때가 아니다.,...Normally` I wouldn’t have opened it` but now isn’t the time to worry about that.
어차피 지금의 우연 상태라면 이런 걸 알아차리지도 못할 것 같다.,Either way` in Accidy’s current state` they probably wouldn’t even notice something like this.
잠시만 열어보자.,Let's open it for a second.
,
,
안녕하세요`점장님. 저 마감 타임에 알바하고 있는 우연입니다.\n갑작스레 연락드려 죄송하지만 이제 알바를 그만둬야할 것 같아 연락드립니다.\n개인 사정때문에 다음주부터는 출근 불가능합니다.,Hello`Manager. This is Accidy; I work the closing shift.\nI apologize for the sudden message` but I’m reaching out because I think I have to quit.\nDue to personal circumstances` I won’t be able to come in starting next week.
조금 당황스러운데,This is a little disconcerting.
일찍 말해줄 수 있었잖아.,You could have told me earlier.
네가 그렇게 나오면 우리는 정말 곤란해져.,If you keep this up` we’ll be in real trouble.
개다가 너는 워낙 출근 일수도 많잖아.,Besides` you already work so many days as it is.
사정이라도 알고 싶은데 왜 그만두는거니?,I at least want to know why—why are you giving up?
그건...개인사정이라 말씀드리기 어렵습니다.,That's... a personal matter` so it's hard for me to say.
이거 정말 곤란하네...,This is really bad...
말이 다음주지 따지고 보면 다음 근무부터 못나온다는거 아니니?,They say it’s next week` but strictly speaking` doesn’t that mean you won’t be able to come in starting with your next shift?
됐다.,Got it.
그만두겠다는데 어쩌겠니...,They say they’re quitting; what can you do...
에휴...미리 말 좀 하지...,Sigh... You could’ve told me ahead of time...
이래서 요즘 애들이랑은 말이 안통한다니까...,See? This is why you can't get through to kids these days...
자퇴했다길래 고민하다가 쓴건데 정말....,I heard you dropped out` so after mulling it over I wrote this. Really....
죄송합니다.,I'm sorry.
일단 알겠어.,Alright. Got it—for now.
수고했어.,Good job.
넵,Yep.
,
우연아 오늘 출근 왜 안하니,Accidy` why aren’t you going to work today?
늦는 만큼 급여 깎이는거 알지~?,You know your pay gets docked for being late` right?
아 맞다 그만 뒀었지. 정신이 없네.,Oh` right—I had quit. I'm not thinking straight.
미안~,Sorry~
아 싫다....또 돌아왔네...별로 좋아하는 날은 아닌데.,Ugh` I hate this.... Back again... Not a day I’m fond of.
X같아.\n제발 그만 좀 나와.\n엄마고 아빠고 다 보기 싫어.,
생일 축하해.,Happy birthday.
해야할 일들부터 정리해야지.\n자퇴하고`돈벌고...`아 살기싫어,
외롭다....\n너만 안죽었다면 외롭진 않았겠지...,I'm lonely....\nIf only you hadn't died` I wouldn't be so lonely...
누구라도 내 곁에 있어줬으면 좋겠어.\n내 곁에 머물러줘.,I wish someone—anyone—would be there for me.\nStay by my side.
다시 찾아야겠지....,Guess I'll have to find it again....
찾았다.\n곧 만나자.,Found you.\nSee you soon.
나를 사랑해줘\n...난 사랑받고 싶은건가?\n이젠 다 모르겠다....,Love me\n...Do I just want to be loved?\nI don't know anything anymore....
누구라도 좋으니까 내가 틀리지 않았다고 해주면 좋겠다....,I wish someone—anyone—would tell me I wasn’t wrong....
보고 싶어.\n곧 만나자.\n그리고 꼭 영원히 함께하자,I miss you.\nLet's meet soon.\nAnd let's be together forever.
,
***** 임시 스크립트 *****,***** Temporary Script *****
,
,
???,???
남자A,Man A
여자A,Woman A
S카페 점장님,S Cafe Manager
,
,
뭐? 그거 큰일인데. 경찰에 신고해야 하는 거 아니야?,What? That’s serious. Shouldn’t we report it to the police?
아직 확실하지 않아서요. 그냥 기분 탓일지도 모르고... 그런데 자꾸 신경 쓰여요.,I'm not sure yet. Maybe I'm just imagining things... but I can't shake it.
그럼 오늘은 내가 데려다줄까? 혼자 가는 건 위험할 것 같아.,Then how about I walk you home today? Going alone could be dangerous.
괜찮아요` 사장님. 걱정 끼쳐드리고 싶지 않아요. 하지만 감사합니다.,I'm okay` Boss. I don't want to make you worry. But thank you.
그래도 안 되겠어. 지금 어디야? 내가 데리러 갈게.,This isn’t going to work. Where are you right now? I’ll come get you.
정말요? 지금 카페 근처에 있어요. 고맙습니다` 사장님.,Really? I'm near the cafe right now. Thank you` Boss.
곧 갈게. 조금만 기다려.,I'll be there soon. Just wait a little.
네` 조심해서 오세요.,Okay` Please be careful coming here.
우연` 도착했어. 어디 있어?,Accidy` I’ve arrived. Where are you?
사장님! 여기 있어요. 감사합니다.,Boss! It’s right here. Thank you.
천만에. 자` 가자. 걱정하지 마` 내가 같이 있어줄게.,You're welcome. Come on` let's go. Don't worry` I'll stay with you.
정말 감사합니다` 사장님. 덕분에 조금 안심이 되네요.,Thank you so much` sir. Thanks to you` I feel a little more at ease.
언제든지. 무슨 일 있으면 꼭 말해. 알았지?,Anytime. If anything happens` make sure you tell me. Got it?
네` 고마워요. 사장님. 정말 고마워요.,Yes` Thank you. Boss. Thank you so much.
,
기억해 내야 해... 좋았던 순간들..,I have to remember... the good times..
